lease_id,unit_id,tenant_id,start_date,end_date,monthly_rent,deposit_amount,status,created_at
30,56,153,2022-01-03,2023-10-13,1162.81,2394.7,Terminated,2022-01-03
31,54,38,2022-05-14,2024-11-17,589.72,1234.92,Terminated,2022-05-14
32,146,65,2022-06-28,2023-10-18,564.24,1101.4,Terminated,2022-06-28
33,97,170,2022-01-27,2023-06-10,1284.64,2750.86,Terminated,2022-01-27
34,115,4,2023-01-02,2024-09-01,729.13,1335.92,Terminated,2023-01-02
35,58,151,2022-11-28,2023-12-14,985.0,1860.3,Terminated,2022-11-28
36,89,45,2022-09-29,2023-11-21,1606.75,3290.7,Terminated,2022-09-29
37,134,33,2023-03-08,2025-08-27,966.45,2113.98,Active,2023-03-08
38,27,30,2022-03-07,2024-07-06,1026.24,1922.34,Terminated,2022-03-07
39,95,115,2023-01-06,2025-06-14,744.23,1497.04,Active,2023-01-06
40,108,152,2022-04-22,2024-07-27,1354.87,2551.8,Terminated,2022-04-22
41,6,129,2022-08-15,2025-05-05,509.31,1106.86,Active,2022-08-15
42,124,12,2023-11-06,2026-04-22,809.66,1669.34,Active,2023-11-06
43,120,78,2023-04-15,2026-02-01,1585.66,3170.48,Active,2023-04-15
44,91,8,2022-03-04,2024-07-06,515.49,1028.56,Terminated,2022-03-04
45,48,103,2023-03-13,2026-02-12,443.44,907.3,Active,2023-03-13
46,149,28,2023-05-18,2026-05-16,650.37,1261.46,Active,2023-05-18
47,159,114,2022-03-17,2023-06-07,1390.55,2937.94,Terminated,2022-03-17
48,123,83,2023-09-15,2025-02-12,562.52,1133.1,Active,2023-09-15
49,42,17,2022-05-10,2024-02-15,551.47,1096.34,Terminated,2022-05-10
50,52,160,2023-10-11,2026-06-01,533.14,1039.54,Active,2023-10-11
51,69,141,2023-12-31,2025-11-27,1520.02,2935.58,Active,2023-12-31
52,63,98,2023-09-04,2026-02-28,1622.38,3438.1,Active,2023-09-04
53,9,76,2023-04-10,2025-09-08,859.97,1862.84,Active,2023-04-10
54,101,155,2023-03-17,2024-06-25,697.99,1312.16,Terminated,2023-03-17
55,177,180,2022-04-28,2025-02-26,593.71,1168.02,Active,2022-04-28
56,83,167,2023-07-19,2025-02-23,1483.6,3082.56,Active,2023-07-19
57,47,111,2023-04-08,2024-11-26,611.22,1134.46,Terminated,2023-04-08
58,116,106,2022-12-14,2025-03-22,625.25,1243.3,Active,2022-12-14
59,44,103,2023-03-02,2024-06-06,670.2,1265.76,Terminated,2023-03-02
60,17,81,2023-03-14,2025-01-27,1097.92,2188.46,Active,2023-03-14
61,160,171,2022-09-19,2024-10-06,1309.29,2373.98,Terminated,2022-09-19
62,13,40,2023-12-05,2026-04-03,1317.38,2422.18,Active,2023-12-05
63,41,18,2022-04-04,2023-06-30,924.06,1871.42,Terminated,2022-04-04
64,29,24,2023-03-19,2024-06-24,911.3,1738.16,Terminated,2023-03-19
65,136,191,2023-01-17,2024-05-29,780.82,1512.82,Terminated,2023-01-17
66,107,143,2022-03-03,2024-10-23,1672.24,3130.28,Terminated,2022-03-03
67,151,144,2023-07-30,2025-07-01,1088.79,2287.96,Active,2023-07-30
68,110,172,2022-05-06,2024-06-29,1559.92,3016.38,Terminated,2022-05-06
69,7,91,2023-11-13,2026-01-19,1062.05,2017.34,Active,2023-11-13
70,100,185,2022-02-22,2023-12-13,1263.85,2771.4,Terminated,2022-02-22
71,36,154,2022-11-16,2024-11-10,1273.71,2707.6,Terminated,2022-11-16
72,51,27,2023-08-15,2026-01-15,501.05,1115.88,Active,2023-08-15
73,3,55,2022-06-08,2025-04-10,568.82,1153.18,Active,2022-06-08
74,109,124,2022-08-18,2023-12-06,1529.29,2952.64,Terminated,2022-08-18
75,38,90,2023-07-24,2025-08-03,1701.04,3164.38,Active,2023-07-24
76,78,30,2022-10-13,2025-05-22,831.63,1657.12,Active,2022-10-13
77,46,58,2023-03-16,2025-10-10,1078.04,1993.72,Active,2023-03-16
78,144,197,2023-09-29,2026-06-18,1171.96,2517.66,Active,2023-09-29
79,138,173,2023-10-21,2026-05-13,865.62,1892.42,Active,2023-10-21
80,128,7,2023-09-16,2026-07-20,1447.55,2903.16,Active,2023-09-16
81,14,178,2022-10-01,2023-10-30,1567.1,3075.14,Terminated,2022-10-01
82,62,47,2022-10-07,2025-09-25,1357.59,2719.62,Active,2022-10-07
83,50,196,2022-11-13,2024-10-25,785.93,1753.08,Terminated,2022-11-13
84,148,90,2022-01-07,2023-07-11,528.35,1061.42,Terminated,2022-01-07
85,90,37,2023-08-03,2026-06-06,815.14,1744.04,Active,2023-08-03
86,103,103,2022-03-13,2023-08-05,1453.31,2812.44,Terminated,2022-03-13
87,158,190,2023-10-11,2024-11-10,918.64,1804.2,Terminated,2023-10-11
88,55,24,2023-06-28,2025-02-02,850.62,1785.12,Active,2023-06-28
89,161,97,2023-03-06,2025-06-12,642.57,1319.04,Active,2023-03-06
90,175,88,2022-06-11,2024-06-23,1400.35,2957.32,Terminated,2022-06-11
91,131,80,2022-11-29,2025-07-02,592.19,1188.1,Active,2022-11-29
92,45,153,2022-03-28,2023-05-20,996.76,1902.66,Terminated,2022-03-28
93,57,40,2022-06-11,2025-03-04,1660.25,3492.64,Active,2022-06-11
94,147,13,2023-11-22,2025-02-12,1624.9,3169.92,Active,2023-11-22
95,154,70,2023-03-30,2026-02-04,526.5,1081.68,Active,2023-03-30
96,70,109,2023-05-13,2026-01-23,1322.32,2753.82,Active,2023-05-13
97,156,114,2023-03-01,2024-12-04,1302.87,2619.76,Terminated,2023-03-01
98,162,56,2023-06-09,2024-10-02,1336.29,2818.48,Terminated,2023-06-09
99,106,89,2023-03-17,2024-07-07,1277.2,2627.12,Terminated,2023-03-17
100,2,73,2023-11-26,2026-10-20,1553.34,3304.6,Active,2023-11-26
101,86,152,2023-05-14,2025-11-03,1557.76,2836.84,Active,2023-05-14
102,104,171,2022-11-12,2023-12-28,652.53,1302.76,Terminated,2022-11-12
103,143,57,2023-02-09,2025-10-14,1259.14,2609.58,Active,2023-02-09
104,172,15,2022-01-08,2023-08-05,1161.61,2298.62,Terminated,2022-01-08
105,150,78,2022-08-05,2023-12-23,957.55,1925.92,Terminated,2022-08-05
106,60,196,2022-09-19,2024-07-11,1557.79,3150.38,Terminated,2022-09-19
107,30,84,2022-05-03,2023-05-10,1337.4,2595.1,Terminated,2022-05-03
108,174,128,2023-03-17,2024-09-11,1099.37,2118.5,Terminated,2023-03-17
109,75,34,2023-01-25,2025-07-23,1489.12,3059.4,Active,2023-01-25
110,64,181,2022-08-24,2025-01-17,819.09,1686.74,Active,2022-08-24
111,31,144,2023-11-16,2025-11-12,1461.06,2962.86,Active,2023-11-16
112,180,19,2023-02-11,2024-03-25,988.69,2234.56,Terminated,2023-02-11
113,80,112,2022-01-20,2024-05-04,892.5,1931.32,Terminated,2022-01-20
114,49,20,2022-11-17,2025-06-28,668.9,1252.22,Active,2022-11-17
115,141,110,2023-08-11,2025-09-28,1045.68,1932.42,Active,2023-08-11
116,79,182,2023-10-18,2025-12-18,935.58,1894.76,Active,2023-10-18
117,11,75,2022-04-28,2024-06-15,902.71,1754.84,Terminated,2022-04-28
118,23,6,2022-11-29,2024-05-22,536.24,1056.04,Terminated,2022-11-29
119,22,159,2023-04-17,2026-03-23,657.62,1139.78,Active,2023-04-17
120,142,93,2022-04-01,2024-06-21,1136.47,2152.44,Terminated,2022-04-01
121,155,28,2022-09-07,2024-11-26,874.15,1759.56,Terminated,2022-09-07
122,88,151,2023-02-15,2025-08-04,650.1,1365.44,Active,2023-02-15
123,73,21,2023-02-10,2024-12-23,623.71,1356.36,Terminated,2023-02-10
124,53,191,2022-12-14,2024-07-27,1253.03,2480.82,Terminated,2022-12-14
125,157,86,2022-06-22,2023-09-08,1232.89,2562.7,Terminated,2022-06-22
126,32,131,2023-10-11,2025-02-03,724.89,1560.76,Active,2023-10-11
127,19,136,2023-06-07,2024-12-21,681.27,1408.06,Terminated,2023-06-07
128,111,199,2022-12-24,2024-12-17,674.7,1426.54,Terminated,2022-12-24
129,96,187,2023-10-23,2025-03-22,1719.4,3171.28,Active,2023-10-23
130,92,61,2022-04-16,2023-09-12,676.83,1296.5,Terminated,2022-04-16
131,76,66,2022-07-22,2024-01-15,1234.15,2469.28,Terminated,2022-07-22
132,15,155,2022-06-06,2025-04-07,613.07,1141.66,Active,2022-06-06
133,84,20,2022-07-01,2025-04-04,1093.9,2179.36,Active,2022-07-01
134,12,127,2023-04-21,2025-11-18,437.83,915.06,Active,2023-04-21
135,8,195,2023-08-17,2025-11-18,908.03,1687.54,Active,2023-08-17
136,77,175,2023-08-02,2026-05-21,640.02,1246.46,Active,2023-08-02
137,43,163,2023-10-02,2025-08-27,1090.19,2299.64,Active,2023-10-02
138,114,161,2022-11-20,2024-04-22,784.69,1584.46,Terminated,2022-11-20
139,140,113,2022-03-11,2024-07-03,1397.49,2922.94,Terminated,2022-03-11
140,166,114,2023-10-09,2025-08-14,474.99,1020.54,Active,2023-10-09
141,112,71,2023-08-29,2024-10-24,772.94,1477.46,Terminated,2023-08-29
142,24,91,2023-06-04,2024-08-17,1759.01,3211.42,Terminated,2023-06-04
143,59,80,2023-04-18,2025-07-23,728.37,1566.26,Active,2023-04-18
144,74,10,2022-02-28,2024-03-11,481.12,935.9,Terminated,2022-02-28
145,61,74,2022-03-20,2025-01-08,782.74,1618.12,Active,2022-03-20
146,18,24,2023-09-22,2026-05-22,1051.67,2155.84,Active,2023-09-22
147,173,130,2023-01-29,2025-05-16,895.86,1846.4,Active,2023-01-29
148,139,149,2023-07-22,2024-09-01,1090.73,2279.96,Terminated,2023-07-22
149,125,116,2023-08-09,2026-06-06,642.05,1281.0,Active,2023-08-09
150,82,49,2022-11-26,2025-08-06,783.95,1635.86,Active,2022-11-26
151,179,122,2023-05-29,2024-10-29,1491.02,2942.26,Terminated,2023-05-29
152,137,16,2023-04-07,2024-07-20,1198.0,2402.04,Terminated,2023-04-07
153,169,88,2022-03-28,2024-08-25,1153.91,2335.72,Terminated,2022-03-28
154,21,45,2022-03-22,2022-08-25,875.52,1834.28,Terminated,2022-03-22
155,21,182,2024-06-15,2024-12-31,890.69,1834.28,Terminated,2024-06-15
156,21,135,2022-11-22,2023-06-26,951.78,1834.28,Terminated,2022-11-22
157,102,73,2024-03-04,2024-10-29,1030.56,2010.76,Terminated,2024-03-04
158,102,199,2023-11-24,2024-10-25,956.24,2010.76,Terminated,2023-11-24
159,87,162,2023-11-17,2024-01-19,938.76,1868.24,Terminated,2023-11-17
160,68,25,2024-03-02,2024-08-24,1405.9,2709.98,Terminated,2024-03-02
161,68,65,2022-11-04,2023-05-23,1241.89,2709.98,Terminated,2022-11-04
162,121,150,2022-10-17,2023-05-14,912.67,1777.06,Terminated,2022-10-17
163,20,168,2024-03-13,2024-06-17,599.16,1239.38,Terminated,2024-03-13
164,20,153,2022-06-23,2022-12-28,637.37,1239.38,Terminated,2022-06-23
165,40,97,2023-11-04,2024-02-07,674.48,1402.48,Terminated,2023-11-04
166,40,172,2022-07-11,2023-07-06,637.96,1402.48,Terminated,2022-07-11
167,40,172,2024-05-17,2024-12-31,644.18,1402.48,Terminated,2024-05-17
168,105,5,2024-01-13,2024-07-19,1889.8,3770.54,Terminated,2024-01-13
169,105,47,2023-03-15,2023-10-05,1909.75,3770.54,Terminated,2023-03-15
170,37,50,2023-04-09,2023-07-18,1581.56,3312.92,Terminated,2023-04-09
171,37,40,2022-06-08,2022-12-06,1709.35,3312.92,Terminated,2022-06-08
172,4,130,2022-03-19,2022-10-07,1170.67,2553.48,Terminated,2022-03-19
173,117,34,2024-02-11,2024-05-29,1131.09,2269.68,Terminated,2024-02-11
174,117,42,2023-01-06,2023-12-21,1066.12,2269.68,Terminated,2023-01-06
175,117,43,2024-06-15,2024-08-06,1097.85,2269.68,Terminated,2024-06-15
176,135,94,2023-05-02,2024-01-14,1215.94,2426.14,Terminated,2023-05-02
177,135,157,2023-08-07,2024-04-22,1160.88,2426.14,Terminated,2023-08-07
178,168,137,2023-05-05,2023-11-09,868.27,1770.58,Terminated,2023-05-05
179,113,50,2024-01-24,2024-12-11,1374.76,2617.8,Terminated,2024-01-24
180,113,113,2024-08-03,2024-12-31,1271.15,2617.8,Terminated,2024-08-03
181,26,129,2024-05-07,2024-08-27,897.49,1722.98,Terminated,2024-05-07
182,26,52,2022-10-11,2023-03-18,812.83,1722.98,Terminated,2022-10-11
183,85,165,2024-09-11,2024-12-31,1154.42,2249.26,Terminated,2024-09-11
184,152,27,2024-11-22,2024-12-31,1030.31,1922.08,Terminated,2024-11-22
185,152,73,2022-06-21,2022-10-11,842.27,1922.08,Terminated,2022-06-21
186,152,70,2024-07-09,2024-12-31,922.75,1922.08,Terminated,2024-07-09
187,129,112,2022-07-07,2022-11-27,544.5,1058.46,Terminated,2022-07-07
188,33,90,2022-02-24,2022-10-24,1025.11,2071.24,Terminated,2022-02-24
189,33,14,2024-03-22,2024-12-31,1054.84,2071.24,Terminated,2024-03-22
190,10,61,2024-03-01,2024-05-11,1026.8,2117.54,Terminated,2024-03-01
191,10,96,2023-04-05,2023-05-19,1063.35,2117.54,Terminated,2023-04-05
192,127,26,2023-11-18,2024-03-01,995.44,2006.5,Terminated,2023-11-18
193,127,36,2022-03-20,2022-09-12,1061.83,2006.5,Terminated,2022-03-20
194,39,179,2022-10-12,2023-07-09,577.35,1140.2,Terminated,2022-10-12
195,39,115,2022-01-11,2022-03-22,579.72,1140.2,Terminated,2022-01-11
196,167,66,2023-03-18,2023-07-02,521.32,1064.56,Terminated,2023-03-18
197,170,187,2024-05-16,2024-08-10,1115.75,2287.26,Terminated,2024-05-16
198,170,199,2023-08-14,2024-01-12,1118.9,2287.26,Terminated,2023-08-14
199,170,78,2022-09-07,2022-10-31,1166.19,2287.26,Terminated,2022-09-07
200,99,108,2024-07-25,2024-09-25,896.1,1830.74,Terminated,2024-07-25
201,98,128,2022-02-03,2023-01-22,1560.82,3077.06,Terminated,2022-02-03
202,122,148,2023-05-11,2023-08-22,757.83,1373.16,Terminated,2023-05-11
203,122,75,2024-05-29,2024-06-28,716.48,1373.16,Terminated,2024-05-29
204,122,158,2023-12-24,2024-05-25,675.39,1373.16,Terminated,2023-12-24
