request_id,unit_id,tenant_id,request_date,category,description,urgency,status,completion_date,cost
54,43,152,2024-09-23,Other,Maintenance issue 54,Medium,Completed,2024-09-27,283.46
55,43,104,2022-12-27,Plumbing,Maintenance issue 55,Medium,Open,2023-01-06,278.21
56,44,56,2022-05-06,Electric,Maintenance issue 56,High,Completed,2022-05-09,437.47
57,44,137,2022-11-02,HVAC,Maintenance issue 57,Low,Open,2022-11-17,215.12
58,45,146,2023-10-11,HVAC,Maintenance issue 58,High,Open,2023-10-21,329.73
59,46,150,2023-12-07,Plumbing,Maintenance issue 59,Medium,Open,2023-12-10,401.28
60,47,95,2023-08-26,Other,Maintenance issue 60,Critical,Completed,2023-08-28,356.39
61,49,73,2024-01-06,Plumbing,Maintenance issue 61,Low,Open,2024-01-10,120.97
62,49,98,2024-02-23,Structural,Maintenance issue 62,Medium,Completed,2024-03-07,502.23
63,50,99,2023-01-21,HVAC,Maintenance issue 63,High,Completed,2023-02-08,177.36
64,50,3,2022-09-15,Plumbing,Maintenance issue 64,Medium,Completed,2022-09-20,164.84
65,51,112,2024-09-23,Electric,Maintenance issue 65,Low,Open,2024-10-15,456.76
66,52,47,2024-05-21,Structural,Maintenance issue 66,Medium,Open,2024-06-10,546.23
67,52,109,2023-04-08,Other,Maintenance issue 67,Low,Open,2023-04-14,101.62
68,53,129,2023-04-30,HVAC,Maintenance issue 68,Medium,Completed,,318.58
69,53,124,2022-03-19,HVAC,Maintenance issue 69,Low,Open,2022-04-07,520.12
70,54,187,2022-06-13,Other,Maintenance issue 70,Critical,Completed,2022-06-18,1196.77
71,54,157,2022-06-10,Plumbing,Maintenance issue 71,Low,Completed,2022-06-27,195.97
72,56,14,2023-10-02,HVAC,Maintenance issue 72,Medium,Completed,2023-10-22,514.35
73,58,121,2024-11-15,Other,Maintenance issue 73,Medium,Open,2024-12-14,422.21
74,58,43,2023-08-27,Plumbing,Maintenance issue 74,Medium,Completed,2023-09-06,325.16
75,58,162,2023-06-18,Structural,Maintenance issue 75,Medium,Completed,2023-06-20,317.82
76,59,189,2023-08-21,Other,Maintenance issue 76,Low,Open,,177.15
77,60,72,2024-11-01,HVAC,Maintenance issue 77,Low,Completed,2024-11-04,363.44
78,60,190,2023-06-11,Plumbing,Maintenance issue 78,Medium,Completed,2023-06-12,82.81
79,61,45,2024-01-28,HVAC,Maintenance issue 79,Medium,Completed,2024-02-23,572.58
80,61,9,2024-12-16,HVAC,Maintenance issue 80,Critical,Completed,2025-01-13,286.22
81,62,127,2022-11-12,Structural,Maintenance issue 81,Medium,Completed,2022-12-09,254.15
82,62,148,2022-12-09,HVAC,Maintenance issue 82,Low,Completed,2022-12-16,239.6
83,63,43,2022-08-26,Structural,Maintenance issue 83,Low,Completed,2022-08-28,1199.82
84,64,98,2024-12-26,Structural,Maintenance issue 84,Medium,Completed,2025-01-03,126.69
85,64,74,2024-06-09,Structural,Maintenance issue 85,Low,Completed,2024-06-10,726.61
86,64,137,2022-03-26,HVAC,Maintenance issue 86,Critical,Open,2022-03-30,856.8
87,64,70,2023-07-13,HVAC,Maintenance issue 87,High,Completed,2023-07-24,110.94
88,65,198,2024-03-12,Electric,Maintenance issue 88,Medium,Completed,2024-03-27,271.68
89,66,141,2023-01-04,Plumbing,Maintenance issue 89,Medium,Completed,,165.63
90,67,27,2022-07-20,Structural,Maintenance issue 90,Low,Completed,2022-08-06,512.27
91,67,159,2022-03-11,Plumbing,Maintenance issue 91,Low,Completed,2022-03-12,292.43
92,67,31,2022-09-07,Plumbing,Maintenance issue 92,High,Completed,2022-09-30,797.02
93,68,29,2023-01-14,Electric,Maintenance issue 93,Low,Open,2023-02-12,495.06
94,72,117,2022-06-05,HVAC,Maintenance issue 94,Medium,Completed,2022-06-26,160.1
95,73,199,2022-06-01,Plumbing,Maintenance issue 95,Low,Completed,2022-06-10,307.43
96,73,68,2023-06-13,Electric,Maintenance issue 96,Medium,Open,2023-07-10,760.28
97,75,101,2023-02-15,Electric,Maintenance issue 97,Medium,Completed,2023-03-07,227.19
98,76,158,2024-06-02,Plumbing,Maintenance issue 98,High,Completed,2024-06-09,388.02
99,78,147,2022-05-30,HVAC,Maintenance issue 99,Medium,Completed,2022-06-02,136.02
100,78,164,2022-11-01,Plumbing,Maintenance issue 100,High,Open,2022-11-22,187.18
101,79,101,2023-11-07,Other,Maintenance issue 101,Low,Open,2023-12-06,450.74
102,79,187,2024-04-07,Plumbing,Maintenance issue 102,Medium,Completed,2024-05-05,274.84
103,79,146,2024-09-14,Other,Maintenance issue 103,High,Completed,2024-09-18,300.25
104,79,15,2023-09-13,Plumbing,Maintenance issue 104,Low,Completed,,139.71
105,79,197,2024-07-30,HVAC,Maintenance issue 105,Medium,Completed,2024-08-24,603.5
106,80,49,2024-02-26,HVAC,Maintenance issue 106,Medium,Completed,2024-03-19,426.61
107,81,22,2024-01-06,Structural,Maintenance issue 107,Medium,Completed,,384.98
108,82,152,2022-02-21,Electric,Maintenance issue 108,Medium,Completed,2022-03-17,619.46
109,82,137,2023-09-23,Structural,Maintenance issue 109,Critical,Completed,,214.99
110,84,185,2022-04-25,Plumbing,Maintenance issue 110,Medium,Completed,2022-05-06,45.07
111,84,174,2024-12-07,Other,Maintenance issue 111,Low,Completed,2024-12-22,262.54
112,86,37,2022-03-17,Structural,Maintenance issue 112,Medium,Open,2022-04-10,643.83
113,90,180,2022-04-04,Electric,Maintenance issue 113,Low,Completed,2022-04-12,998.81
114,91,157,2022-07-19,Electric,Maintenance issue 114,High,Completed,2022-08-03,431.36
115,91,128,2022-08-06,Other,Maintenance issue 115,Medium,Completed,,733.04
116,91,87,2023-02-20,Structural,Maintenance issue 116,Low,Completed,2023-03-06,406.59
117,92,12,2023-03-13,Other,Maintenance issue 117,Low,Completed,2023-04-07,528.07
118,92,107,2022-10-17,Electric,Maintenance issue 118,Medium,Completed,2022-11-11,191.37
119,93,26,2022-03-25,Other,Maintenance issue 119,Low,Completed,,48.88
120,93,2,2024-09-24,Plumbing,Maintenance issue 120,Low,Completed,2024-09-27,758.79
121,95,178,2023-08-05,Structural,Maintenance issue 121,Medium,Completed,2023-08-19,1019.87
122,96,116,2023-07-09,Structural,Maintenance issue 122,Low,Completed,2023-07-26,344.72
123,96,47,2022-03-19,Structural,Maintenance issue 123,Medium,Completed,2022-04-08,990.48
124,96,108,2023-09-09,Plumbing,Maintenance issue 124,Medium,Completed,2023-09-21,176.03
125,100,159,2024-12-21,HVAC,Maintenance issue 125,High,Completed,2024-12-25,95.47
126,100,14,2023-03-03,Electric,Maintenance issue 126,Low,Completed,2023-03-12,76.21
127,101,46,2024-08-29,Electric,Maintenance issue 127,Medium,Completed,,570.61
128,105,54,2024-01-16,Structural,Maintenance issue 128,Low,Open,,473.31
129,106,138,2022-04-18,Electric,Maintenance issue 129,Low,Completed,2022-05-18,1652.47
130,106,61,2022-08-26,Structural,Maintenance issue 130,Medium,Completed,2022-08-29,257.55
131,107,200,2023-10-30,Plumbing,Maintenance issue 131,Low,Completed,2023-11-07,167.15
132,107,52,2024-04-24,Structural,Maintenance issue 132,High,Completed,2024-05-22,181.84
133,107,112,2024-09-19,Electric,Maintenance issue 133,Low,Open,2024-09-21,75.35
134,108,118,2024-02-04,Electric,Maintenance issue 134,Medium,Completed,2024-02-09,223.52
135,108,178,2022-09-18,Other,Maintenance issue 135,Low,Completed,2022-09-20,372.69
136,108,108,2024-08-11,Electric,Maintenance issue 136,Medium,Completed,2024-08-26,946.94
137,109,164,2022-11-18,Other,Maintenance issue 137,High,Completed,,622.66
138,111,56,2024-12-04,Other,Maintenance issue 138,Medium,Open,2024-12-20,278.58
139,111,64,2024-05-26,Electric,Maintenance issue 139,Low,Completed,2024-06-19,192.09
140,112,147,2022-11-02,Plumbing,Maintenance issue 140,Medium,Completed,,308.52
141,113,197,2024-08-21,Other,Maintenance issue 141,Low,Open,2024-09-14,338.22
142,113,127,2022-07-20,Electric,Maintenance issue 142,Low,Completed,2022-08-04,348.63
143,113,34,2024-04-12,HVAC,Maintenance issue 143,Low,Completed,,175.64
144,113,181,2023-09-17,Structural,Maintenance issue 144,High,Completed,2023-09-23,59.11
145,114,36,2024-08-07,Structural,Maintenance issue 145,Low,Completed,2024-09-01,192.89
146,115,161,2022-01-03,Plumbing,Maintenance issue 146,Low,Completed,2022-01-31,606.59
147,116,193,2023-08-31,HVAC,Maintenance issue 147,Medium,Completed,2023-09-14,788.44
148,118,86,2022-06-15,Plumbing,Maintenance issue 148,Medium,Completed,2022-07-05,837.62
149,119,94,2022-08-16,Structural,Maintenance issue 149,Medium,Completed,2022-08-29,272.85
150,119,182,2022-05-18,Electric,Maintenance issue 150,Low,Completed,2022-06-05,796.27
151,119,123,2022-08-21,Other,Maintenance issue 151,High,Completed,2022-09-11,61.97
152,120,91,2023-04-07,HVAC,Maintenance issue 152,Medium,Open,2023-04-18,121.59
153,121,89,2022-05-10,Structural,Maintenance issue 153,Medium,Completed,2022-05-22,280.86
154,122,137,2024-12-25,HVAC,Maintenance issue 154,Medium,Completed,2025-01-16,295.94
155,122,118,2022-05-15,Plumbing,Maintenance issue 155,Low,Completed,2022-05-22,180.92
156,123,43,2022-06-07,HVAC,Maintenance issue 156,Low,Completed,2022-06-11,1099.0
157,124,161,2023-02-23,Plumbing,Maintenance issue 157,Low,Completed,2023-03-12,227.69
158,125,189,2024-05-10,Plumbing,Maintenance issue 158,Low,Completed,,311.03
159,125,134,2023-04-21,HVAC,Maintenance issue 159,Medium,Completed,2023-05-18,246.63
160,126,152,2023-10-31,Other,Maintenance issue 160,High,Open,2023-11-16,309.79
161,126,79,2022-09-28,Electric,Maintenance issue 161,Medium,Completed,2022-10-27,396.02
162,127,13,2023-08-14,Electric,Maintenance issue 162,Low,Open,2023-09-08,306.39
163,127,138,2022-11-26,HVAC,Maintenance issue 163,Low,Completed,2022-12-19,462.81
164,128,61,2022-11-11,Plumbing,Maintenance issue 164,Low,Completed,2022-11-17,1010.61
165,129,95,2024-06-21,Electric,Maintenance issue 165,Low,Completed,2024-06-30,1305.11
166,129,96,2023-12-06,Structural,Maintenance issue 166,Medium,Completed,2023-12-11,102.19
167,130,7,2022-09-06,Structural,Maintenance issue 167,High,Completed,2022-10-06,156.15
168,132,2,2023-10-18,Other,Maintenance issue 168,Critical,Completed,2023-10-23,264.81
169,133,75,2023-08-29,Other,Maintenance issue 169,Medium,Open,2023-09-14,230.54
170,133,123,2022-08-19,Plumbing,Maintenance issue 170,Low,Completed,2022-09-12,100.52
171,134,57,2024-04-02,Structural,Maintenance issue 171,Low,Completed,,406.81
172,136,135,2023-02-04,Electric,Maintenance issue 172,Medium,Completed,2023-02-23,1030.54
173,138,115,2022-06-21,Plumbing,Maintenance issue 173,Critical,Open,2022-07-09,440.49
174,138,155,2023-10-13,Other,Maintenance issue 174,High,Completed,2023-11-02,325.83
175,139,99,2024-05-25,HVAC,Maintenance issue 175,Low,Completed,2024-06-06,149.9
176,140,144,2024-07-01,Plumbing,Maintenance issue 176,Low,Open,2024-07-29,191.42
177,141,114,2024-05-01,HVAC,Maintenance issue 177,Low,Open,2024-05-27,486.8
178,141,151,2024-04-28,Other,Maintenance issue 178,Low,Completed,2024-05-03,529.22
179,141,17,2024-12-11,Other,Maintenance issue 179,Medium,Completed,,284.93
180,142,45,2023-07-14,Other,Maintenance issue 180,Medium,Completed,2023-07-28,295.78
181,142,142,2024-02-21,Structural,Maintenance issue 181,Low,Completed,2024-03-02,511.28
182,142,144,2023-09-15,Structural,Maintenance issue 182,Low,Completed,2023-10-01,328.53
183,143,163,2023-09-07,Structural,Maintenance issue 183,Low,Completed,2023-09-28,242.74
184,143,177,2024-10-04,Electric,Maintenance issue 184,Low,Completed,2024-11-03,725.15
185,145,191,2022-05-17,HVAC,Maintenance issue 185,Medium,Open,2022-06-06,214.06
186,146,31,2024-09-01,HVAC,Maintenance issue 186,Medium,Completed,2024-09-24,484.79
187,146,15,2022-11-30,Electric,Maintenance issue 187,Low,Completed,2022-12-19,554.36
188,147,93,2022-04-19,Structural,Maintenance issue 188,Medium,Completed,,326.53
189,147,164,2023-08-21,Plumbing,Maintenance issue 189,Medium,Completed,2023-09-07,153.55
190,147,83,2022-12-09,HVAC,Maintenance issue 190,High,Completed,2022-12-27,187.63
191,147,137,2024-01-13,Other,Maintenance issue 191,Low,Completed,,297.39
192,148,96,2024-11-27,Structural,Maintenance issue 192,Medium,Completed,2024-12-07,341.19
193,148,57,2022-11-13,Electric,Maintenance issue 193,Medium,Completed,2022-11-30,516.46
194,149,34,2022-06-06,Plumbing,Maintenance issue 194,Medium,Completed,2022-06-10,66.71
195,149,114,2022-10-12,Other,Maintenance issue 195,Medium,Completed,2022-11-08,172.64
196,150,191,2023-09-16,Plumbing,Maintenance issue 196,Low,Completed,2023-09-17,269.59
197,150,54,2023-09-22,Electric,Maintenance issue 197,Critical,Open,2023-09-27,37.47
198,150,5,2022-08-17,Structural,Maintenance issue 198,Medium,Completed,2022-08-20,349.05
199,151,169,2022-03-09,Other,Maintenance issue 199,Medium,Open,2022-04-04,410.2
200,152,17,2023-06-03,HVAC,Maintenance issue 200,Medium,Completed,2023-06-05,1047.84
201,153,52,2023-02-25,Electric,Maintenance issue 201,Medium,Completed,,766.47
202,154,90,2023-07-23,HVAC,Maintenance issue 202,Low,Completed,2023-08-11,445.27
203,154,149,2022-05-20,Plumbing,Maintenance issue 203,Medium,Completed,2022-05-24,218.43
204,154,194,2022-12-18,Other,Maintenance issue 204,Low,Completed,2023-01-16,184.21
205,156,182,2024-10-29,Structural,Maintenance issue 205,Low,Completed,2024-11-26,238.43
206,157,91,2022-08-08,Structural,Maintenance issue 206,Medium,Completed,2022-08-14,645.75
207,158,120,2023-10-06,Plumbing,Maintenance issue 207,Medium,Open,2023-10-10,131.45
208,159,185,2023-08-14,Plumbing,Maintenance issue 208,Low,Open,2023-09-01,267.7
209,160,154,2023-08-04,HVAC,Maintenance issue 209,Medium,Open,2023-08-19,170.18
210,161,110,2024-04-14,Electric,Maintenance issue 210,High,Open,2024-04-24,316.69
211,161,4,2024-01-23,Structural,Maintenance issue 211,Medium,Open,2024-01-29,1151.46
212,161,37,2022-06-24,Structural,Maintenance issue 212,Medium,Completed,2022-06-28,487.18
213,162,94,2022-12-12,Electric,Maintenance issue 213,Low,Open,2022-12-15,163.85
214,162,128,2024-05-19,HVAC,Maintenance issue 214,Medium,Completed,2024-06-12,518.94
215,162,122,2024-03-30,Other,Maintenance issue 215,Critical,Open,2024-04-11,750.81
216,162,117,2022-10-29,Plumbing,Maintenance issue 216,Low,Open,2022-11-23,333.47
217,163,26,2022-10-03,Plumbing,Maintenance issue 217,High,Open,2022-10-04,513.91
218,164,155,2023-01-02,HVAC,Maintenance issue 218,Low,Completed,2023-01-15,229.47
219,165,127,2024-11-30,Structural,Maintenance issue 219,Low,Open,2024-12-25,866.58
220,166,88,2023-06-20,Other,Maintenance issue 220,Medium,Completed,2023-07-08,652.13
221,166,116,2022-09-01,HVAC,Maintenance issue 221,High,Open,2022-09-14,941.78
222,167,143,2022-03-09,HVAC,Maintenance issue 222,High,Completed,2022-03-15,110.89
223,167,184,2022-10-03,Structural,Maintenance issue 223,Medium,Completed,2022-10-13,962.79
224,168,142,2024-10-01,Other,Maintenance issue 224,Medium,Open,2024-10-23,211.66
225,169,15,2022-11-17,Structural,Maintenance issue 225,Low,Open,2022-12-04,293.04
226,171,73,2023-12-24,HVAC,Maintenance issue 226,Low,Completed,2024-01-18,280.15
227,172,190,2024-01-21,Other,Maintenance issue 227,Low,Completed,2024-02-02,10.79
228,172,92,2024-05-26,Structural,Maintenance issue 228,Low,Completed,2024-06-07,339.17
229,173,22,2023-10-02,Plumbing,Maintenance issue 229,High,Completed,2023-10-21,495.49
230,174,84,2022-02-10,Plumbing,Maintenance issue 230,Medium,Open,2022-02-28,275.65
231,174,6,2024-05-12,Structural,Maintenance issue 231,Medium,Completed,2024-05-21,385.47
232,176,147,2024-03-10,Plumbing,Maintenance issue 232,High,Completed,2024-03-21,659.32
233,176,128,2023-02-26,Other,Maintenance issue 233,High,Completed,2023-03-09,91.99
234,178,112,2023-09-06,Electric,Maintenance issue 234,Medium,Completed,2023-09-18,67.3
235,178,68,2023-03-15,Plumbing,Maintenance issue 235,Low,Open,2023-03-25,161.91
236,178,149,2022-07-08,Plumbing,Maintenance issue 236,Medium,Completed,,307.38
237,179,110,2024-12-23,Electric,Maintenance issue 237,Low,Completed,2025-01-08,338.76
