unit_id,building_id,floor,unit_number,type,area_sqm,monthly_rent_base,created_at
88,10,3,31,Studio,31.38,682.72,2020-01-01
89,10,3,32,T4,95.07,1645.35,2020-01-01
90,10,3,33,Studio,28.68,872.02,2020-01-01
91,11,1,11,Studio,33.13,514.28,2020-01-01
92,11,1,12,Studio,24.65,648.25,2020-01-01
93,11,1,13,Studio,28.88,671.4,2020-01-01
94,11,2,21,T2,57.37,892.72,2020-01-01
95,11,2,22,T2,50.77,748.52,2020-01-01
96,11,2,23,T4,92.77,1585.64,2020-01-01
97,11,3,31,T4,96.07,1375.43,2020-01-01
98,11,3,32,T4,95.87,1538.53,2020-01-01
99,11,3,33,T2,50.58,915.37,2020-01-01
100,12,1,11,T4,95.29,1385.7,2020-01-01
101,12,1,12,Studio,31.79,656.08,2020-01-01
102,12,1,13,T2,60.42,1005.38,2020-01-01
103,12,2,21,T4,88.11,1406.22,2020-01-01
104,12,2,22,Studio,32.58,651.38,2020-01-01
105,12,2,23,T4,97.58,1885.27,2020-01-01
106,12,3,31,T3,77.85,1313.56,2020-01-01
107,12,3,32,T4,99.77,1565.14,2020-01-01
108,12,3,33,T3,73.42,1275.9,2020-01-01
109,13,1,11,T4,91.14,1476.32,2020-01-01
110,13,1,12,T4,92.57,1508.19,2020-01-01
111,13,1,13,T2,66.57,713.27,2020-01-01
112,13,2,21,T2,58.43,738.73,2020-01-01
113,13,2,22,T3,72.64,1308.9,2020-01-01
114,13,2,23,T2,55.32,792.23,2020-01-01
115,13,3,31,Studio,26.42,667.96,2020-01-01
116,13,3,32,Studio,26.35,621.65,2020-01-01
117,13,3,33,T3,75.23,1134.84,2020-01-01
118,14,1,11,Studio,40.72,663.39,2020-01-01
119,14,1,12,Studio,19.87,618.65,2020-01-01
120,14,1,13,T4,91.69,1585.24,2020-01-01
121,14,2,21,T2,51.04,888.53,2020-01-01
122,14,2,22,Studio,32.52,686.58,2020-01-01
123,14,2,23,Studio,24.0,566.55,2020-01-01
124,14,3,31,T2,52.63,834.67,2020-01-01
125,14,3,32,Studio,38.83,640.5,2020-01-01
126,14,3,33,Studio,23.7,691.79,2020-01-01
127,15,1,11,T2,65.61,1003.25,2020-01-01
128,15,1,12,T4,87.4,1451.58,2020-01-01
129,15,1,13,Studio,36.33,529.23,2020-01-01
130,15,2,21,T2,57.22,977.46,2020-01-01
131,15,2,22,Studio,25.37,594.05,2020-01-01
132,15,2,23,Studio,13.79,497.56,2020-01-01
133,15,3,31,T4,93.74,1375.22,2020-01-01
134,15,3,32,T3,83.16,1056.99,2020-01-01
135,15,3,33,T3,72.8,1213.07,2020-01-01
136,16,1,11,T2,62.21,756.41,2020-01-01
137,16,1,12,T3,80.82,1201.02,2020-01-01
138,16,1,13,T2,50.09,946.21,2020-01-01
139,16,2,21,T3,76.0,1139.98,2020-01-01
140,16,2,22,T4,95.35,1461.47,2020-01-01
141,16,2,23,T2,55.57,966.21,2020-01-01
142,16,3,31,T3,82.93,1076.22,2020-01-01
143,16,3,32,T4,105.67,1304.79,2020-01-01
144,16,3,33,T3,74.24,1258.83,2020-01-01
145,17,1,11,Studio,31.4,537.73,2020-01-01
146,17,1,12,Studio,28.96,550.7,2020-01-01
147,17,1,13,T4,92.05,1584.96,2020-01-01
148,17,2,21,Studio,31.79,530.71,2020-01-01
149,17,2,22,Studio,34.5,630.73,2020-01-01
150,17,2,23,T2,59.06,962.96,2020-01-01
151,17,3,31,T3,70.86,1143.98,2020-01-01
152,17,3,32,T2,58.74,961.04,2020-01-01
153,17,3,33,T3,74.9,1211.73,2020-01-01
154,18,1,11,Studio,36.39,540.84,2020-01-01
155,18,1,12,T2,57.74,879.78,2020-01-01
156,18,1,13,T3,73.91,1309.88,2020-01-01
157,18,2,21,T3,79.13,1281.35,2020-01-01
158,18,2,22,T2,61.53,902.1,2020-01-01
159,18,2,23,T4,98.41,1468.97,2020-01-01
160,18,3,31,T3,76.62,1186.99,2020-01-01
161,18,3,32,Studio,30.48,659.52,2020-01-01
162,18,3,33,T3,70.91,1409.24,2020-01-01
163,19,1,11,Studio,24.97,478.58,2020-01-01
164,19,1,12,T2,60.79,979.17,2020-01-01
165,19,1,13,T3,78.12,1262.83,2020-01-01
166,19,2,21,Studio,29.94,510.27,2020-01-01
167,19,2,22,Studio,30.38,532.28,2020-01-01
168,19,2,23,T2,59.88,885.29,2020-01-01
169,19,3,31,T3,70.87,1167.86,2020-01-01
170,19,3,32,T3,77.06,1143.63,2020-01-01
171,19,3,33,T2,50.89,924.37,2020-01-01
172,20,1,11,T3,76.22,1149.31,2020-01-01
173,20,1,12,T2,52.64,923.2,2020-01-01
174,20,1,13,T3,67.76,1059.25,2020-01-01
175,20,2,21,T4,91.41,1478.66,2020-01-01
176,20,2,22,T3,76.55,1347.54,2020-01-01
177,20,2,23,Studio,34.29,584.01,2020-01-01
178,20,3,31,Studio,29.9,499.75,2020-01-01
179,20,3,32,T4,94.91,1471.13,2020-01-01
180,20,3,33,T3,76.61,1117.28,2020-01-01
